"School 
Year","LEA 
Code","LEA 
Name","School 
Code","School 
Name","Charter 
School","Current 
Grades","Direct 
Certification","Community 
Eligibility","Total 
Enrollment","# Identified 
Students",Multiplier,"# Low 
Income 
Students","% Low 
Income 
Students","School 
Served","Eligibility 
Program 
Model","Eligibility 
Justification","Program 
Justification","# Students 
Served TAS","Grades 
Served 
TAS","Served 
1st Year","Served 1st 
Year Comment"
2020-2021,540,Lenoir County Public Schools,540308,Contentnea-Savannah School,N,"PK,0K,01,02,03,04,05,06,07,08",N,Y,857,N/A,N/A,625,72.93,Y,SW-SW,,,,,2006-2007,
2020-2021,540,Lenoir County Public Schools,540312,E B Frink Middle,N,"06,07,08",N,Y,557,N/A,N/A,362,64.99,Y,SW-SW,,,,,2002-2003,
2020-2021,540,Lenoir County Public Schools,540315,Kinston High,N,"09,10,11,12,XG",N,Y,629,N/A,N/A,535,85.06,Y,SW-SW,,,,,2017-2018,
2020-2021,540,Lenoir County Public Schools,540316,La Grange Elementary,N,"PK,0K,01,02,03,04,05",N,Y,475,N/A,N/A,376,79.16,Y,SW-SW,,,,,2006-2007,
2020-2021,540,Lenoir County Public Schools,540317,Lenoir County Early College High,N,"09,10,11,12,13",N,Y,177,N/A,N/A,98,55.37,N,SW,,,,,,
2020-2021,540,Lenoir County Public Schools,540318,Lenoir County Learning Academy,N,"PK,0K,01,02,03,04,05,06,07,08,09,10,11,12,XG",N,Y,85,N/A,N/A,52,61.18,Y,SW-SW,,,,,2009-2010,
2020-2021,540,Lenoir County Public Schools,540320,Moss Hill Elementary,N,"0K,01,02,03,04,05",N,Y,443,N/A,N/A,313,70.65,Y,SW-SW,,,,,2006-2007,
2020-2021,540,Lenoir County Public Schools,540324,North Lenoir High,N,"09,10,11,12,XG",N,Y,845,N/A,N/A,499,59.05,Y,SW-SW,,,,,2018-2019,
2020-2021,540,Lenoir County Public Schools,540325,Northeast Elementary,N,"PK,0K,01,02,03,04,05",N,Y,522,N/A,N/A,494,94.64,Y,SW-SW,,,,,2009-2010,
2020-2021,540,Lenoir County Public Schools,540326,Northwest Elementary,N,"0K,01,02,03,04,05",N,Y,507,N/A,N/A,441,86.98,Y,SW-SW,,,,,2006-2007,
2020-2021,540,Lenoir County Public Schools,540328,Pink Hill Elementary,N,"PK,0K,01,02,03,04,05",N,Y,462,N/A,N/A,312,67.53,Y,SW-SW,,,,,2006-2007,
2020-2021,540,Lenoir County Public Schools,540330,Rochelle Middle,N,"06,07,08",N,Y,484,N/A,N/A,437,90.29,Y,SW-SW,,,,,2004-2005,
2020-2021,540,Lenoir County Public Schools,540336,South Lenoir High,N,"09,10,11,12,XG",N,Y,687,N/A,N/A,354,51.53,Y,SW-SW,,,,,2018-2019,
2020-2021,540,Lenoir County Public Schools,540338,Southeast Elementary,N,"0K,01,02,03,04,05",N,Y,232,N/A,N/A,232,100,Y,SW-SW,,,,,2006-2007,
2020-2021,540,Lenoir County Public Schools,540340,Southwood Elementary,N,"0K,01,02,03,04,05",N,Y,300,N/A,N/A,190,63.33,Y,SW-SW,,,,,2006-2007,
2020-2021,540,Lenoir County Public Schools,540344,Woodington Middle,N,"06,07,08",N,Y,639,N/A,N/A,394,61.66,Y,SW-SW,,,,,2005-2006,
2020-2021,54A,Children's Village Academy,54A000,Children's Village Academy,Y,"0K,01,02,03,04,05,06,07,08",N,Y,177,N/A,N/A,177,100,Y,SW-SW,,,,,2006-2007,
2020-2021,550,Lincoln County Schools,550308,Asbury Academy,N,"06,07,08,09,10,11,12",N,N,48,27,1.6,43,89.58,N,SW,,,,,,
2020-2021,550,Lincoln County Schools,550312,Battleground Elementary,N,"PK,0K,01,02,03,04,05",N,Y,396,242,1.6,387,97.73,Y,SW-SW,,,,,2005-2006,
2020-2021,550,Lincoln County Schools,550314,Catawba Springs Elementary,N,"PK,0K,01,02,03,04,05",N,N,554,96,1.6,154,27.8,N,Not Title I,,,,,,
2020-2021,550,Lincoln County Schools,550316,GE Massey Elementary,N,"PK,0K,01,02,03,04,05",N,N,355,156,1.6,250,70.42,Y,SW-SW,,,,,2006-2007,
2020-2021,550,Lincoln County Schools,550320,East Lincoln High,N,"09,10,11,12,XG",N,N,953,120,1.6,192,20.15,N,Not Title I,,,,,,
2020-2021,550,Lincoln County Schools,550322,East Lincoln Middle,N,"06,07,08",N,N,689,124,1.6,198,28.74,N,Not Title I,,,,,,
2020-2021,550,Lincoln County Schools,550328,Iron Station Elementary,N,"PK,0K,01,02,03,04,05",N,N,438,159,1.6,254,57.99,Y,SW-SW,,,,,2006-2007,
2020-2021,550,Lincoln County Schools,550330,LCST,N,NG,N,N,0,0,1.6,0,0,N,Not Title I,,,,,,
2020-2021,550,Lincoln County Schools,550332,Lincolnton High,N,"09,10,11,12,XG",N,N,768,277,1.6,443,57.68,N,SW,,,,,,
2020-2021,550,Lincoln County Schools,550334,Lincolnton Middle,N,"06,07,08",N,N,679,311,1.6,498,73.34,Y,SW-SW,,,,,2015-2016,
2020-2021,550,Lincoln County Schools,550336,Love Memorial Elementary,N,"PK,0K,01,02,03,04,05",N,N,319,136,1.6,218,68.34,Y,SW-SW,,,,,2006-2007,
2020-2021,550,Lincoln County Schools,550340,Childers Elementary,N,"PK,0K,01,02,03,04,05",N,N,464,161,1.6,258,55.6,Y,SW-SW,,,,,2006-2007,
2020-2021,550,Lincoln County Schools,550342,North Brook Elementary,N,"PK,0K,01,02,03,04,05",N,N,373,166,1.6,266,71.31,Y,SW-SW,,,,,2005-2006,
2020-2021,550,Lincoln County Schools,550344,North Lincoln High,N,"09,10,11,12,XG",N,N,973,104,1.6,166,17.06,N,Not Title I,,,,,,
2020-2021,550,Lincoln County Schools,550348,Pumpkin Center Primary,N,"PK,0K,01,02",N,N,319,73,1.6,117,36.68,N,TAS,,,,,,
2020-2021,550,Lincoln County Schools,550349,Pumpkin Center Intermediate,N,"03,04,05",N,N,328,77,1.6,123,37.5,N,TAS,,,,,,
2020-2021,550,Lincoln County Schools,550350,North Lincoln Middle,N,"06,07,08",N,N,742,125,1.6,200,26.95,N,Not Title I,,,,,,
2020-2021,550,Lincoln County Schools,550356,Rock Springs Elementary,N,"PK,0K,01,02,03,04,05",N,N,596,52,1.6,83,13.93,N,Not Title I,,,,,,
2020-2021,550,Lincoln County Schools,550360,S Ray Lowder Elementary,N,"PK,0K,01,02,03,04,05",N,N,314,145,1.6,232,73.89,Y,SW-SW,,,,,2006-2007,
2020-2021,550,Lincoln County Schools,550362,St James Elementary,N,"PK,0K,01,02,03,04,05",N,N,615,73,1.6,117,19.02,N,Not Title I,,,,,,
2020-2021,550,Lincoln County Schools,550364,Union Elementary,N,"PK,0K,01,02,03,04,05",N,N,278,97,1.6,155,55.76,Y,SW-SW,,,,,2011-2012,
2020-2021,550,Lincoln County Schools,550368,West Lincoln High,N,"09,10,11,12,XG",N,N,793,188,1.6,301,37.96,N,TAS,,,,,,
2020-2021,550,Lincoln County Schools,550372,West Lincoln Middle,N,"06,07,08",N,N,580,209,1.6,334,57.59,Y,SW-SW,,,,,2002-2003,
2020-2021,55A,Lincoln Charter School,55A000,Lincoln Charter School,Y,"0K,01,02,03,04,05,06,07,08,09,10,11,12",N,Y,2130,573,1.6,917,43.05,Y,SW-SW,,,,,2019-2020,
2020-2021,55B,West Lake Preparatory Academy,55B000,West Lake Preparatory Academy,Y,"0K,01,02,03,04,05,06,07",N,Y,108,29,1.6,46,42.59,Y,SW-SW,,,,,2019-2020,
2020-2021,560,Macon County Schools,560304,Cartoogechaye Elementary,N,"PK,0K,01,02,03,04",N,N,350,N/A,N/A,184,52.57,Y,SW-SW,,,,,2006-2007,
2020-2021,560,Macon County Schools,560316,East Franklin Elementary,N,"0K,01,02,03,04",N,Y,366,N/A,N/A,209,57.1,Y,SW-SW,,,,,2005-2006,
2020-2021,560,Macon County Schools,560320,Franklin High,N,"09,10,11,12,XG",N,N,854,N/A,N/A,410,48.01,N,SW,,,,,,
2020-2021,560,Macon County Schools,560324,Highlands School,N,"0K,01,02,03,04,05,06,07,08,09,10,11,12,XG",N,N,390,N/A,N/A,165,42.31,Y,SW-SW,,,,,2010-2011,
2020-2021,560,Macon County Schools,560328,Iotla Valley Elementary,N,"PK,0K,01,02,03,04",N,N,389,N/A,N/A,243,62.47,Y,SW-SW,,,,,2006-2007,
2020-2021,560,Macon County Schools,560329,Macon Early College High School,N,"09,10,11,12,13,XG",N,N,142,N/A,N/A,38,26.76,N,Not Title I,,,,,,
2020-2021,560,Macon County Schools,560330,Macon Middle School,N,"07,08",N,N,647,N/A,N/A,353,54.56,Y,SW-SW,,,,,2005-2006,
2020-2021,560,Macon County Schools,560331,Mountain View Intermediate,N,"05,06",N,N,649,N/A,N/A,420,64.71,Y,SW-SW,,,,,2010-2011,
2020-2021,560,Macon County Schools,560332,Nantahala School,N,"0K,01,02,03,04,05,06,07,08,09,10,11,12,XG",N,N,82,N/A,N/A,49,59.76,Y,SW-SW,,,,,2006-2007,
2020-2021,560,Macon County Schools,560338,South Macon Elementary,N,"PK,0K,01,02,03,04",N,N,522,N/A,N/A,359,68.77,Y,SW-SW,,,,,2006-2007,
2020-2021,560,Macon County Schools,560350,Union Academy,N,"07,08,09,10,11,12,XG",N,Y,116,N/A,N/A,73,62.93,N,SW,,,,,,
2020-2021,570,Madison County Schools,570306,Brush Creek Elementary,N,"0K,01,02,03,04,05",N,N,340,N/A,N/A,105,30.88,Y,TAS-SW,125% Rule,Always SW,,,2006-2007,
2020-2021,570,Madison County Schools,570312,Hot Springs Elementary,N,"0K,01,02,03,04,05",N,Y,133,N/A,N/A,58,43.61,Y,SW-SW,,,,,2006-2007,
2020-2021,570,Madison County Schools,570317,Madison Early College High,N,"09,10,11,12,13",N,N,247,N/A,N/A,72,29.15,N,Not Title I,,,,,,
2020-2021,570,Madison County Schools,570318,Madison High School,N,"09,10,11,12",N,N,482,N/A,N/A,141,29.25,N,Not Title I,,,,,,
2020-2021,570,Madison County Schools,570319,Madison Middle School,N,"06,07,08",N,N,483,N/A,N/A,152,31.47,N,Not Title I,,,,,,
2020-2021,570,Madison County Schools,570320,Mars Hill Elementary,N,"0K,01,02,03,04,05",N,N,522,N/A,N/A,170,32.57,Y,TAS-SW,125% Rule,Always SW,,,2006-2007,
2020-2021,570,Madison County Schools,570321,Madison Velocity Learning Center,N,"09,10,11,12",N,N,28,N/A,N/A,5,17.86,N,Not Title I,,,,,,
2020-2021,580,Martin County Schools,580308,Williamston Primary,N,"PK,0K,01,02",N,Y,359,224,1.6,358,99.72,Y,SW-SW,,,,,2006-2007,
2020-2021,580,Martin County Schools,580312,E J Hayes Elementary,N,"03,04,05",N,Y,338,211,1.6,338,100,Y,SW-SW,,,,,2006-2007,
2020-2021,580,Martin County Schools,580316,South Creek Elementary,N,"PK,0K,01,02,03,04,05",N,Y,378,235,1.6,376,99.47,Y,SW-SW,,,,,2004-2005,
2020-2021,580,Martin County Schools,580324,Jamesville Elementary,N,"PK,0K,01,02,03,04,05",N,Y,195,63,1.6,101,51.79,Y,SW-SW,,,,,2006-2007,
2020-2021,580,Martin County Schools,580344,South Creek Middle/High,N,"06,07,08,09,10,11,12,XG",N,Y,429,229,1.6,366,85.31,Y,SW-SW,,,,,2018-2019,
2020-2021,580,Martin County Schools,580356,Rodgers Elementary,N,"0K,01,02,03,04,05",N,Y,233,70,1.6,112,48.07,Y,SW-SW,,,,,2006-2007,
2020-2021,580,Martin County Schools,580368,Riverside High,N,"09,10,11,12,XG",N,Y,492,230,1.6,368,74.8,Y,SW-SW,,,,,2020-2021,
2020-2021,580,Martin County Schools,580372,Riverside Middle,N,"06,07,08",N,Y,426,216,1.6,346,81.22,Y,SW-SW,,,,,2005-2006,
2020-2021,58B,Bear Grass Charter School,58B000,Bear Grass Charter School,Y,"06,07,08,09,10,11,12",N,Y,410,52,1.6,83,20.24,Y,TAS-SW,Charter School,Always SW,,,2019-2020,
2020-2021,590,McDowell County Schools,590306,Eastfield Global Magnet School,N,"PK,0K,01,02,03,04,05",N,N,292,N/A,N/A,241,82.53,Y,SW-SW,,,,,2005-2006,
2020-2021,590,McDowell County Schools,590310,East McDowell Middle School,N,"06,07,08",N,N,628,N/A,N/A,436,69.43,N,SW,,,,,,
2020-2021,590,McDowell County Schools,590316,Glenwood Elementary School,N,"PK,0K,01,02,03,04,05",N,N,408,N/A,N/A,246,60.29,Y,SW-SW,,,,,2005-2006,
2020-2021,590,McDowell County Schools,590320,Marion Elementary School,N,"PK,0K,01,02,03,04,05",N,N,360,N/A,N/A,272,75.56,Y,SW-SW,,,,,2006-2007,
2020-2021,590,McDowell County Schools,590326,McDowell Academy for Innovation,N,"09,10,11,12,13,XG",N,N,98,N/A,N/A,55,56.12,N,SW,,,,,,
2020-2021,590,McDowell County Schools,590328,McDowell Early College,N,"09,10,11,12,13,XG",N,N,267,N/A,N/A,89,33.33,N,Not Title I,,,,,,
2020-2021,590,McDowell County Schools,590330,McDowell High School,N,"09,10,11,12,XG",N,N,1444,N/A,N/A,732,50.69,N,SW,,,,,,
2020-2021,590,McDowell County Schools,590332,Nebo Elementary School,N,"PK,0K,01,02,03,04,05",N,N,357,N/A,N/A,236,66.11,Y,SW-SW,,,,,2006-2007,
2020-2021,590,McDowell County Schools,590336,North Cove Elementary School,N,"PK,0K,01,02,03,04,05",N,N,236,N/A,N/A,135,57.2,Y,SW-SW,,,,,2006-2007,
2020-2021,590,McDowell County Schools,590340,Old Fort Elementary School,N,"PK,0K,01,02,03,04,05",N,N,324,N/A,N/A,214,66.05,Y,SW-SW,,,,,2006-2007,
2020-2021,590,McDowell County Schools,590344,Pleasant Gardens Elementary School,N,"PK,0K,01,02,03,04,05",N,N,328,N/A,N/A,194,59.15,Y,SW-SW,,,,,2009-2010,
2020-2021,590,McDowell County Schools,590352,West Marion Elementary School,N,"PK,0K,01,02,03,04,05",N,N,404,N/A,N/A,263,65.1,Y,SW-SW,,,,,2002-2003,
2020-2021,590,McDowell County Schools,590356,West McDowell Middle School,N,"06,07,08",N,N,711,N/A,N/A,389,54.71,N,SW,,,,,,
2020-2021,590,McDowell County Schools,590393,Foothills Community School,N,"06,07,08",N,N,194,N/A,N/A,82,42.27,N,SW,,,,,,
2020-2021,600,Charlotte-Mecklenburg Schools,600300,Albemarle Road Elementary,N,"0K,01,02,03,04,05",N,Y,854,412,1.6,659,77.17,Y,SW-SW,,,,,2004-2005,
2020-2021,600,Charlotte-Mecklenburg Schools,600301,Albemarle Road Middle,N,"06,07,08",N,Y,1079,443,1.6,709,65.71,Y,SW-SW,,,,,2004-2005,
2020-2021,600,Charlotte-Mecklenburg Schools,600302,Ardrey Kell High School,N,"09,10,11,12,XG",N,N,3344,N/A,N/A,187,5.59,N,Not Title I,,,,,,
2020-2021,600,Charlotte-Mecklenburg Schools,600303,Charlotte East Language Academy,N,"0K,01,02,03,04,06,07,08",N,Y,706,321,1.6,514,72.8,Y,SW-SW,,,,,2018-2019,
2020-2021,600,Charlotte-Mecklenburg Schools,600304,Rea Farms STEAM Academy,N,"0K,01,02,03,04,05,06",N,N,774,N/A,N/A,160,20.67,N,Not Title I,,,,,,
2020-2021,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,N,"06,07,08",N,N,972,N/A,N/A,422,43.42,N,SW,,,,,,
2020-2021,600,Charlotte-Mecklenburg Schools,600308,Allenbrook Elementary,N,"PK,0K,01,02,03,04,05",N,Y,310,210,1.6,310,100,Y,SW-SW,,,,,2002-2003,
2020-2021,600,Charlotte-Mecklenburg Schools,600311,Ashley Park PreK-8 School,N,"PK,0K,01,02,03,04,05,06,07,08",N,Y,487,325,1.6,487,100,Y,SW-SW,,,,,2006-2007,
2020-2021,600,Charlotte-Mecklenburg Schools,600312,William Amos Hough High,N,"09,10,11,12,XG",N,N,2437,N/A,N/A,216,8.86,N,Not Title I,,,,,,
2020-2021,600,Charlotte-Mecklenburg Schools,600313,Bailey Middle,N,"06,07,08",N,N,1674,N/A,N/A,232,13.86,N,Not Title I,,,,,,
2020-2021,600,Charlotte-Mecklenburg Schools,600314,Bain Elementary,N,"0K,01,02,03,04,05",N,N,951,N/A,N/A,118,12.41,N,Not Title I,,,,,,
2020-2021,600,Charlotte-Mecklenburg Schools,600316,Barringer Academic Center,N,"0K,01,02,03,04,05",N,Y,511,214,1.6,342,66.93,Y,SW-SW,,,,,2015-2016,
2020-2021,600,Charlotte-Mecklenburg Schools,600317,Whitewater Middle,N,"06,07,08",N,Y,834,345,1.6,552,66.19,Y,SW-SW,,,,,2009-2010,
2020-2021,600,Charlotte-Mecklenburg Schools,600318,Whitewater Academy,N,"PK,0K,01,02,03,04,05",N,Y,835,342,1.6,547,65.51,Y,SW-SW,,,,,2010-2011,
2020-2021,600,Charlotte-Mecklenburg Schools,600319,Berryhill School,N,"PK,0K,01,02,03,04,05,06,07,08",N,Y,504,188,1.6,301,59.72,Y,SW-SW,,,,,2009-2010,
2020-2021,600,Charlotte-Mecklenburg Schools,600322,Beverly Woods Elementary,N,"0K,01,02,03,04,05",N,N,776,N/A,N/A,93,11.98,N,Not Title I,,,,,,
2020-2021,600,Charlotte-Mecklenburg Schools,600328,Barnette Elementary,N,"PK,0K,01,02,03,04,05",N,N,849,N/A,N/A,152,17.9,N,Not Title I,,,,,,
2020-2021,600,Charlotte-Mecklenburg Schools,600329,Briarwood Academy,N,"PK,0K,01,02,03,04,05",N,Y,719,345,1.6,552,76.77,Y,SW-SW,,,,,2004-2005,
2020-2021,600,Charlotte-Mecklenburg Schools,600333,Carmel Middle,N,"06,07,08",N,N,1232,N/A,N/A,422,34.25,N,Not Title I,,,,,,
2020-2021,600,Charlotte-Mecklenburg Schools,600334,Cato Middle College High School,N,"09,10,11,12,13,XG",N,N,211,N/A,N/A,45,21.33,N,Not Title I,,,,,,
2020-2021,600,Charlotte-Mecklenburg Schools,600335,Billingsville Elementary,N,"0K,01,02",N,N,422,N/A,N/A,309,73.22,Y,SW-SW,,,,,2002-2003,
2020-2021,600,Charlotte-Mecklenburg Schools,600336,Chantilly Montessori,N,"PK,0K,01,02,03,04,05,06",N,N,335,N/A,N/A,24,7.16,N,Not Title I,,,,,,
2020-2021,600,Charlotte-Mecklenburg Schools,600338,Clear Creek Elementary,N,"PK,0K,01,02,03,04,05",N,N,523,N/A,N/A,227,43.4,N,SW,,,,,,
2020-2021,600,Charlotte-Mecklenburg Schools,600341,Cochrane Collegiate Academy,N,"06,07,08,09,10,11,12,XG",N,Y,926,410,1.6,656,70.84,Y,SW-SW,,,,,2002-2003,
2020-2021,600,Charlotte-Mecklenburg Schools,600344,Collinswood Language Academy,N,"0K,01,02,03,04,05,06,07,08",N,N,768,N/A,N/A,171,22.27,N,Not Title I,,,,,,
2020-2021,600,Charlotte-Mecklenburg Schools,600345,Community House Middle,N,"06,07,08",N,N,1976,N/A,N/A,160,8.1,N,Not Title I,,,,,,
2020-2021,600,Charlotte-Mecklenburg Schools,600346,Cornelius Elementary,N,"0K,01,02,03,04,05",N,N,663,N/A,N/A,168,25.34,N,Not Title I,,,,,,
2020-2021,600,Charlotte-Mecklenburg Schools,600349,Cotswold Elementary,N,"03,04,05",N,N,457,N/A,N/A,299,65.43,Y,SW-SW,,,,,2018-2019,
2020-2021,600,Charlotte-Mecklenburg Schools,600351,Coulwood STEM Academy,N,"06,07,08",N,Y,723,311,1.6,498,68.88,Y,SW-SW,,,,,2011-2012,
2020-2021,600,Charlotte-Mecklenburg Schools,600352,Crown Point Elementary,N,"PK,0K,01,02,03,04,05",N,N,589,N/A,N/A,309,52.46,N,SW,,,,,,
2020-2021,600,Charlotte-Mecklenburg Schools,600353,Crestdale Middle,N,"06,07,08",N,N,1005,N/A,N/A,227,22.59,N,Not Title I,,,,,,
2020-2021,600,Charlotte-Mecklenburg Schools,600357,Davidson K-8 School,N,"0K,01,02,03,04,05,06,07",N,N,830,N/A,N/A,82,9.88,N,Not Title I,,,,,,
2020-2021,600,Charlotte-Mecklenburg Schools,600361,Butler High School,N,"09,10,11,12,XG",N,N,1949,N/A,N/A,539,27.66,N,Not Title I,,,,,,
2020-2021,600,Charlotte-Mecklenburg Schools,600362,David Cox Road Elementary,N,"PK,0K,01,02,03,04,05",N,Y,727,329,1.6,526,72.35,Y,SW-SW,,,,,2015-2016,
2020-2021,600,Charlotte-Mecklenburg Schools,600364,Military and Global Leadership,N,"09,10,11,12,XG",N,N,174,N/A,N/A,93,53.45,Y,SW-SW,,,,,2013-2014,
2020-2021,600,Charlotte-Mecklenburg Schools,600365,Devonshire Elementary,N,"0K,01,02,03,04,05",N,Y,648,331,1.6,530,81.79,Y,SW-SW,,,,,2002-2003,
2020-2021,600,Charlotte-Mecklenburg Schools,600366,Marie G Davis School,N,"0K,01,02,03,04,05,06,07,08",N,Y,475,278,1.6,445,93.68,Y,SW-SW,,,,,2017-2018,
2020-2021,600,Charlotte-Mecklenburg Schools,600367,Dilworth Elementary School: Latta Campus,N,"03,04,05",N,N,342,N/A,N/A,104,30.41,N,Not Title I,,,,,,
2020-2021,600,Charlotte-Mecklenburg Schools,600368,First Ward Creative Arts Acad,N,"0K,01,02,03,04,05",N,Y,607,305,1.6,488,80.4,Y,SW-SW,,,,,2011-2012,
2020-2021,600,Charlotte-Mecklenburg Schools,600369,Berewick Elementary,N,"PK,0K,01,02,03,04,05",N,N,800,N/A,N/A,280,35,N,TAS,,,,,,
2020-2021,600,Charlotte-Mecklenburg Schools,600374,Druid Hills Academy,N,"PK,0K,01,02,03,04,05,06,07,08",N,Y,426,317,1.6,426,100,Y,SW-SW,,,,,2002-2003,
2020-2021,600,Charlotte-Mecklenburg Schools,600377,East Mecklenburg High School,N,"09,10,11,12,XG",N,N,1994,N/A,N/A,832,41.73,N,SW,,,,,,
2020-2021,600,Charlotte-Mecklenburg Schools,600379,Eastover Elementary,N,"0K,01,02,03,04,05",N,N,453,N/A,N/A,141,31.13,N,Not Title I,,,,,,
2020-2021,600,Charlotte-Mecklenburg Schools,600381,Eastway Middle,N,"06,07,08",N,Y,916,437,1.6,699,76.31,Y,SW-SW,,,,,2002-2003,
2020-2021,600,Charlotte-Mecklenburg Schools,600382,Elizabeth Lane Elementary,N,"0K,01,02,03,04,05",N,N,1062,N/A,N/A,50,4.71,N,Not Title I,,,,,,
2020-2021,600,Charlotte-Mecklenburg Schools,600383,Elon Park Elementary,N,"0K,01,02,03,04,05",N,N,1116,N/A,N/A,64,5.73,N,Not Title I,,,,,,
2020-2021,600,Charlotte-Mecklenburg Schools,600384,Elizabeth Traditional Elem,N,"0K,01,02,03,04,05",N,N,497,N/A,N/A,274,55.13,Y,SW-SW,,,,,2020-2021,
2020-2021,600,Charlotte-Mecklenburg Schools,600385,Endhaven Elementary,N,"PK,0K,01,02,03,04,05",N,N,695,N/A,N/A,139,20,N,Not Title I,,,,,,
2020-2021,600,Charlotte-Mecklenburg Schools,600386,Hawthorne Academy of Health Sciences,N,"09,10,11,12,XG",N,N,273,N/A,N/A,120,43.96,N,SW,,,,,,
2020-2021,600,Charlotte-Mecklenburg Schools,600392,Polo Ridge Elementary,N,"0K,01,02,03,04,05",N,N,1059,N/A,N/A,35,3.31,N,Not Title I,,,,,,
2020-2021,600,Charlotte-Mecklenburg Schools,600394,Francis Bradley Middle,N,"06,07,08",N,N,1077,N/A,N/A,283,26.28,N,Not Title I,,,,,,
2020-2021,600,Charlotte-Mecklenburg Schools,600397,Garinger High School,N,"09,10,11,12,XG",N,Y,1652,647,1.6,1035,62.65,Y,SW-SW,,,,,2012-2013,
2020-2021,600,Charlotte-Mecklenburg Schools,600398,Greenway Park Elementary,N,"PK,0K,01,02,03,04,05,XG",N,Y,597,283,1.6,453,75.88,Y,SW-SW,,,,,2012-2013,
2020-2021,600,Charlotte-Mecklenburg Schools,600399,Alexander Graham Middle,N,"06,07,08",N,N,1356,N/A,N/A,408,30.09,N,Not Title I,,,,,,
2020-2021,600,Charlotte-Mecklenburg Schools,600404,Harper Middle College High,N,"09,10,11,12,13,XG",N,N,192,N/A,N/A,19,9.9,N,Not Title I,,,,,,
2020-2021,600,Charlotte-Mecklenburg Schools,600405,Harding University High School,N,"09,10,11,12,XG",N,Y,1494,722,1.6,1155,77.31,Y,SW-SW,,,,,2011-2012,
2020-2021,600,Charlotte-Mecklenburg Schools,600406,Hawk Ridge Elementary,N,"0K,01,02,03,04,05",N,N,912,N/A,N/A,59,6.47,N,Not Title I,,,,,,
2020-2021,600,Charlotte-Mecklenburg Schools,600408,Lawrence Orr Elementary,N,"PK,0K,01,02,03,04,05,XG",N,Y,931,469,1.6,750,80.56,Y,SW-SW,,,,,2015-2016,
2020-2021,600,Charlotte-Mecklenburg Schools,600409,Parkside Elementary,N,"PK,0K,01,02,03,04,05,XG",N,N,401,N/A,N/A,210,52.37,N,SW,,,,,,
2020-2021,600,Charlotte-Mecklenburg Schools,600410,Hickory Grove Elementary,N,"PK,0K,01,02,03,04,05,XG",N,Y,747,367,1.6,587,78.58,Y,SW-SW,,,,,2009-2010,
2020-2021,600,Charlotte-Mecklenburg Schools,600411,Highland Creek Elementary,N,"0K,01,02,03,04,05",N,N,568,N/A,N/A,136,23.94,N,Not Title I,,,,,,
2020-2021,600,Charlotte-Mecklenburg Schools,600412,Hidden Valley Elementary,N,"PK,0K,01,02,03,04,05",N,Y,896,462,1.6,739,82.48,Y,SW-SW,,,,,2006-2007,
2020-2021,600,Charlotte-Mecklenburg Schools,600413,Highland Mill Montessori,N,"PK,0K,01,02,03,04,05,06",N,N,289,N/A,N/A,37,12.8,N,Not Title I,,,,,,
2020-2021,600,Charlotte-Mecklenburg Schools,600414,Highland Renaissance Academy,N,"PK,0K,01,02,03,04,05",N,Y,417,229,1.6,366,87.77,Y,SW-SW,,,,,2006-2007,
2020-2021,600,Charlotte-Mecklenburg Schools,600415,Hopewell High School,N,"09,10,11,12,XG",N,N,1798,N/A,N/A,541,30.09,N,Not Title I,,,,,,
2020-2021,600,Charlotte-Mecklenburg Schools,600416,Hornets Nest Elementary,N,"PK,0K,01,02,03,04,05",N,Y,667,303,1.6,485,72.71,Y,SW-SW,,,,,2009-2010,
2020-2021,600,Charlotte-Mecklenburg Schools,600418,Croft Community School,N,"PK,0K,01,02,03,04,05,XG",N,N,516,N/A,N/A,208,40.31,N,SW,,,,,,
2020-2021,600,Charlotte-Mecklenburg Schools,600420,Huntersville Elementary,N,"0K,01,02,03,04,05",N,N,825,N/A,N/A,178,21.58,N,Not Title I,,,,,,
2020-2021,600,Charlotte-Mecklenburg Schools,600422,Huntingtowne Farms Elementary,N,"PK,0K,01,02,03,04,05",N,N,906,N/A,N/A,448,49.45,Y,SW-SW,,,,,2009-2010,
2020-2021,600,Charlotte-Mecklenburg Schools,600424,Idlewild Elementary,N,"PK,0K,01,02,03,04,05",N,Y,1036,435,1.6,696,67.18,Y,SW-SW,,,,,2010-2011,
2020-2021,600,Charlotte-Mecklenburg Schools,600426,Independence High School,N,"09,10,11,12,XG",N,N,2093,N/A,N/A,850,40.61,N,SW,,,,,,
2020-2021,600,Charlotte-Mecklenburg Schools,600428,James Martin Middle,N,"06,07,08",N,Y,753,295,1.6,472,62.68,Y,SW-SW,,,,,2011-2012,
2020-2021,600,Charlotte-Mecklenburg Schools,600429,Gov's Village STEM (Upper),N,"05,06,07,08",N,N,845,N/A,N/A,461,54.56,Y,SW-SW,,,,,2020-2021,
2020-2021,600,Charlotte-Mecklenburg Schools,600431,Jay M. Robinson Middle,N,"06,07,08",N,N,1242,N/A,N/A,67,5.39,N,Not Title I,,,,,,
2020-2021,600,Charlotte-Mecklenburg Schools,600432,Joseph W Grier Academy,N,"PK,0K,01,02,03,04,05",N,Y,810,340,1.6,544,67.16,Y,SW-SW,,,,,2009-2010,
